appname,type,path,regex
Newsmax TV,Last Close Timestamp,com.fli.android.newsmaxapp/sp/com.google.android.gms.measurement.prefs.xml,"[\n\r].*""last_upload"" value=""\s*([^\n\r]*)"
NFL,Installation Timestamp,com.gotv.nflgamecenter.us.lite/r/app_webview/pref_store,(?<!\d)\d{10}(?!\d)
NFL,Initial Run Timestamp,com.gotv.nflgamecenter.us.lite/sp/APP_MEASUREMENT_CACHE.xml,"[\n\r].*""ADMS_InstallDate"" value=""\s*([^\n\r]*)"
NFL,Last Run Timestamp,com.gotv.nflgamecenter.us.lite/sp/APP_MEASUREMENT_CACHE.xml,"[\n\r].*""ADMS_PauseDate"" value=""\s*([^\n\r]*)"
NPR One,Installation Timestamp,org.npr.one/r/app_webview/pref_store,(?<!\d)\d{10}(?!\d)
NPR One,Initial Run Timestamp,org.npr.one/sp/com.google.android.gms.measurement.prefs.xml,"[\n\r].*""first_open_time"" value=""\s*([^\n\r]*)"
NPR One,Last Pause Timestamp,org.npr.one/sp/com.google.android.gms.measurement.prefs.xml,"[\n\r].*""last_pause_time"" value=""\s*([^\n\r]*)"
NPR One,Last Close Timestamp,org.npr.one/sp/com.google.android.gms.measurement.prefs.xml,"[\n\r].*""last_upload"" value=""\s*([^\n\r]*)"
Orbia,Installation Timestamp,com.joxdev.orbia/r/app_webview/pref_store,(?<!\d)\d{10}(?!\d)
Orbia,Initial Run Timestamp,com.joxdev.orbia/sp/com.google.android.gms.measurement.prefs.xml,"[\n\r].*""first_open_time"" value=""\s*([^\n\r]*)"
Orbia,Last Pause Timestamp,com.joxdev.orbia/sp/com.google.android.gms.measurement.prefs.xml,"[\n\r].*""last_pause_time"" value=""\s*([^\n\r]*)"
Orbia,Last Close Timestamp,com.joxdev.orbia/sp/com.google.android.gms.measurement.prefs.xml,"[\n\r].*""last_upload"" value=""\s*([^\n\r]*)"
Pacman 256,Last Close Timestamp,eu.bandainamcoent.pacman256/sp/eu.bandainamcoent.pacman256.v2.playerprefs.xml,(?<!\d)\d{13}(?!\d)
Pandora,Installation Timestamp,com.pandora.android.atv/r/app_webview/pref_store,(?<!\d)\d{10}(?!\d)
Pandora,Backend Links Visited,com.pandora.android.atv/r/app_webview/Default/Local Storage/leveldb/000003.log,"(https?:\/\/(?:www\.|(?!www))[a-zA-Z0-9][a-zA-Z0-9-]+[a-zA-Z0-9]\.[^\s]{2,}|www\.[a-zA-Z0-9][a-zA-Z0-9-]+[a-zA-Z0-9]\.[^\s]{2,}|https?:\/\/(?:www\.|(?!www))[a-zA-Z0-9]+\.[^\s]{2,}|www\.[a-zA-Z0-9]+\.[^\s]{2,})"
PBS,Installation Timestamp,com.pbs.video/r/app_webview/pref_store,(?<!\d)\d{10}(?!\d)
PBS,User Email,com.pbs.video/sp/com.pbs.video_preferences.xml,[a-zA-Z0-9_.+-]+@[a-zA-Z0-9-]+\.[a-zA-Z0-9-.]+
Play Games,Initial Run Timestamp,com.google.android.play.games/sp/com.google.android.gms.analytics.prefs.xml,(?<!\d)\d{13}(?!\d)
Play Games,User Email,com.google.android.play.games/sp/master-per-user-shared-preferences.xml,[a-zA-Z0-9_.+-]+@[a-zA-Z0-9-]+\.[a-zA-Z0-9-.]+
Radioline,Initial Run Timestamp,com.radioline.android.radioline/sp/pl.aidev.newradio.pref..xml,"[\n\r].*""first_start_date"" value=""\s*([^\n\r]*)"
Radioline,Last Played Timestamp,com.radioline.android.radioline/sp/pl.aidev.newradio.pref..xml,"[\n\r].*""pl.aidev.newradio.pref.is.playing.timestamp"">\s*([^\n\r]*)"
Red Ball 4,Last Close Timestamp,com.FDGEntertainment.redball4.gp/sp/Cocos2dxPrefsFile.xml,(?<!\d)\d{10}(?!\d)
Red Ball 4,Initial Run Timestamp,com.FDGEntertainment.redball4.gp/sp/com.google.android.gms.measurement.prefs.xml,"[\n\r].*""first_open_time"" value=""\s*([^\n\r]*)"
Red Ball 4,Initial Run Timestamp,com.FDGEntertainment.redball4.gp/sp/com.google.android.gms.analytics.prefs.xml,"[\n\r].*""first_run"" value=""\s*([^\n\r]*)"
Red Ball 4,Last Pause Timestamp,com.FDGEntertainment.redball4.gp/sp/com.google.android.gms.measurement.prefs.xml,"[\n\r].*""last_pause_time"" value=""\s*([^\n\r]*)"
